Regressor,MSE,R2
SVR,32516.014719639883,-0.0008527596430800699
LinearRegression,32964.721584276325,-0.014664092539018458
ElasticNet,33021.216687393644,-0.016403028886194493
Lasso,33021.75395300772,-0.016419566084161286
Ridge,33031.629577659,-0.016723540795412273
GradientBoostingRegressor,34937.660924577925,-0.07539176166990269
RandomForestRegressor,36660.0847125,-0.12840848639095093
KNeighborsRegressor,45790.0,-0.40943003806599965
DecisionTreeRegressor,51637.4,-0.5894147771921652
MLPRegressor,115563.46075957219,-2.5570782462852697
